scene_id,chapter_id,avg_dialogue_score_percent
325,1,100.00
326,1,100.00
327,1,100.00
328,1,10.63
329,1,13.64
330,1,100.00
331,1,100.00
332,1,100.00
333,1,100.00
334,-1,0.00
335,1,100.00
336,-1,0.00
337,1,100.00
338,1,10.64
339,1,100.00
340,-1,0.00
341,1,100.00
342,1,44.44
343,1,32.87
344,1,59.62
345,1,49.88
346,1,78.19
347,1,100.00
348,1,66.67
349,1,46.19
350,1,100.00
351,1,50.00
352,1,100.00
353,1,100.00
354,1,56.49
355,1,100.00
356,1,100.00
357,1,73.68
358,1,100.00
359,1,3.17
360,1,100.00
361,1,100.00
362,1,19.61
363,1,100.00
364,1,100.00
365,1,10.23
366,1,100.00
367,1,19.41
368,1,38.22
369,1,39.93
370,1,10.42
371,1,35.62
372,1,17.07
373,1,60.53
374,1,23.68
375,1,16.00
376,1,100.00
377,1,100.00
378,-1,0.00
379,1,50.00
380,1,100.00
381,1,100.00
382,1,100.00
383,1,47.29
384,1,9.41
385,1,29.29
386,-1,0.00
387,1,40.00
388,1,100.00
389,1,100.00
390,1,100.00
391,1,100.00
392,1,100.00
393,1,100.00
394,1,100.00
395,1,16.13
396,1,22.22
397,1,10.75
398,1,18.85
399,1,55.66
400,1,59.58
401,1,100.00
402,1,100.00
403,1,100.00
404,1,10.71
405,1,100.00
406,1,64.81
407,1,21.68
408,1,100.00
409,1,100.00
410,1,100.00
411,1,100.00
412,1,100.00
413,1,39.97
414,1,100.00
415,1,7.88
416,1,100.00
417,1,100.00
418,1,0.00
419,-1,0.00
420,-1,0.00
421,1,100.00
422,1,100.00
423,1,100.00
424,1,100.00
425,1,100.00
426,-1,0.00
427,-1,0.00
