scene_id,chapter_id,avg_dialogue_score_percent
325,1,100.00
326,1,100.00
327,1,100.00
328,1,48.90
329,1,56.20
330,1,100.00
331,1,100.00
332,1,100.00
333,1,100.00
334,-1,0.00
335,1,100.00
336,-1,0.00
337,1,100.00
338,1,53.93
339,1,100.00
340,-1,0.00
341,1,100.00
342,1,73.80
343,1,74.42
344,1,77.18
345,1,71.28
346,1,87.50
347,1,100.00
348,1,80.00
349,1,70.95
350,1,100.00
351,1,72.65
352,1,100.00
353,1,100.00
354,1,74.14
355,1,100.00
356,1,100.00
357,1,85.71
358,1,100.00
359,1,51.57
360,1,100.00
361,1,100.00
362,1,56.94
363,1,100.00
364,1,100.00
365,1,55.45
366,1,100.00
367,1,56.70
368,1,63.87
369,1,64.78
370,1,48.94
371,1,56.71
372,1,62.50
373,1,76.83
374,1,53.97
375,1,48.39
376,1,100.00
377,1,100.00
378,-1,0.00
379,1,73.67
380,1,100.00
381,1,100.00
382,1,100.00
383,1,68.89
384,1,48.98
385,1,76.39
386,-1,0.00
387,1,63.16
388,1,100.00
389,1,100.00
390,1,100.00
391,1,100.00
392,1,100.00
393,1,100.00
394,1,100.00
395,1,54.00
396,1,54.84
397,1,50.00
398,1,56.02
399,1,73.48
400,1,75.12
401,1,100.00
402,1,100.00
403,1,100.00
404,1,54.95
405,1,100.00
406,1,78.87
407,1,63.38
408,1,100.00
409,1,100.00
410,1,100.00
411,1,100.00
412,1,100.00
413,1,72.55
414,1,100.00
415,1,50.54
416,1,100.00
417,1,100.00
418,1,47.25
419,-1,0.00
420,-1,0.00
421,1,100.00
422,1,100.00
423,1,100.00
424,1,100.00
425,1,100.00
426,-1,0.00
427,-1,0.00
