scene_id,chapter_id,avg_dialogue_score_percent,vote_rate
362,1,56.94,1.000
363,1,100.00,1.000
364,1,100.00,1.000
365,1,55.45,1.000
366,1,100.00,1.000
367,1,56.70,1.000
368,1,63.87,1.000
369,1,64.78,1.000
370,1,48.94,1.000
371,1,56.71,1.000
372,1,62.50,1.000
373,1,76.83,1.000
374,1,53.97,1.000
375,1,48.39,1.000
376,1,100.00,1.000
377,1,100.00,1.000
378,-1,0.00,0.000
379,1,73.67,1.000
380,1,100.00,1.000
381,1,100.00,1.000
382,1,100.00,1.000
383,1,68.89,1.000
384,1,48.98,1.000
385,1,76.39,1.000
386,-1,0.00,0.000
387,1,63.16,1.000
388,1,100.00,1.000
389,1,100.00,1.000
390,1,100.00,1.000
391,1,100.00,1.000
392,1,100.00,1.000
393,1,100.00,1.000
394,1,100.00,1.000
395,1,54.00,1.000
396,1,54.84,1.000
397,1,50.00,1.000
398,1,56.02,1.000
399,1,73.48,1.000
400,1,75.12,1.000
401,1,100.00,1.000
402,1,100.00,1.000
403,1,100.00,1.000
404,1,54.95,1.000
405,1,100.00,1.000
406,1,78.87,1.000
407,1,63.38,1.000
408,1,100.00,1.000
409,1,100.00,1.000
410,1,100.00,1.000
411,1,100.00,1.000
412,1,100.00,1.000
413,1,72.55,1.000
414,1,100.00,1.000
415,1,50.54,1.000
416,1,100.00,1.000
417,1,100.00,1.000
418,1,47.25,1.000
419,-1,0.00,0.000
420,-1,0.00,0.000
421,1,100.00,1.000
422,1,100.00,1.000
423,1,100.00,1.000
424,1,100.00,1.000
425,1,100.00,1.000
426,-1,0.00,0.000
427,-1,0.00,0.000
